,Unnamed: 0,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비_x,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능,풀네임,주행,가격,거주성,품질,디자인,연비_y,종합점수,연도,차이름,브랜드,배기량_num,차급
1320,1369,2022 레이,l3,자연흡기,가솔린,998cc,76hp,9.7kg.m,,127~131g/km,"3,595mm / 1,595mm","1,700mm / 2,520mm","1,410~1,416mm / 1,418~1,424mm","1,040~1,045kg",165~175mm / 50~60 / 14~15inch,165~175mm / 50~60 / 14~15inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,,2022 기아 레이,7.7,7.8,9.0,8.2,9.1,7.2,8.2,2022,기아 레이,기아,998.0,경차
1322,1371,2014 렉서스 IS,V6 2.5 DOHC,자연흡기,가솔린,"2,499cc",207hp,25.5kg.m,,174g/km,"4,665mm / 1,810mm","1,430mm / 2,800mm","1,535mm / 1,540~1,550mm","1,640kg",225mm / 40~45 / 17~18inch,225~255mm / 35~45 / 17~18inch,앞엔진 후륜 구동,자동6단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2014 렉서스 IS,9.3,8.4,8.2,9.6,9.3,7.0,8.6,2014,렉서스 IS,렉서스,2.0,경차
1323,1372,2024 BMW M8,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,,230g/km,"4,865mm / 1,905mm","1,380mm / 2,827mm",,"1,920kg",275mm / 35 / 20inch,285mm / 35 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,305km/h,3.2초,2024 BMW M8,10.0,10.0,8.0,8.0,10.0,8.0,9.0,2024,BMW M8,BMW,4.0,경차
1324,1375,2015 메르세데스-AMG CLA,I4,싱글터보,가솔린,"1,991cc",360hp,45.9kg.m,,165g/km,"4,690mm / 1,775mm","1,430mm / 2,700mm","1,560mm / 1,560mm","1,630kg",235mm / 35 / 19inch,235mm / 35 / 19inch,상시사륜 구동,DCT7단,스트럿/위시본,위시본/트레일링 암,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.2초,2015 메르세데스-벤츠 AMG CLA,9.2,8.5,7.8,8.7,9.7,8.1,8.6,2015,메르세데스-벤츠 AMG CLA,메르세데스-벤츠,1.0,경차
1325,1376,2020 BMW M8 그란쿠페,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,,237g/km,"5,095mm / 1,935mm","1,440mm / 3,023mm","1,626mm / 1,660mm","2,020kg",275mm / 35 / 20inch,285mm / 35 / 20inch,상시사륜 구동,토크컨버터8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.2초,2020 BMW M8 그란쿠페,10.0,10.0,8.0,8.0,10.0,8.0,9.0,2020,BMW M8 그란쿠페,BMW,4.0,경차
1326,1377,2016 BMW 7시리즈,I6 직분사,싱글터보,디젤,"2,993cc",265hp,63.3kg.m,,157g/km,"5,098mm / 1,902mm","1,467mm / 3,070mm",,"2,005kg",245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,자동8단,더블 위시본,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5.8초,2016 BMW 7시리즈,9.8,8.8,9.3,9.5,9.4,9.1,9.3,2016,BMW 7시리즈,BMW,2.0,경차
1328,1379,2024 스포티지,I4,싱글터보,가솔린,"1,598cc",180hp,27kg.m,,136~139g/km,"4,660mm / 1,865mm","1,660~1,680mm / 2,755mm","1,615~1,620mm / 1,622~1,627mm","1,535~1,565kg",235mm / 55~65 / 17~19inch,235mm / 55~65 / 17~19inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2024 기아 스포티지,8.9,7.7,9.2,8.8,9.6,7.9,8.7,2024,기아 스포티지,기아,1.0,경차
1333,1384,2022 쏘렌토,I4,싱글터보,디젤,"2,151cc",202hp,45kg.m,,133~139g/km,"4,810mm / 1,900mm","1,695~1,700mm / 2,815mm","1,637~1,646mm / 1,647~1,656mm","1,755~1,770kg",235~255mm / 45~60 / 18~20inch,235~255mm / 45~60 / 18~20inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2022 기아 쏘렌토,9.3,8.1,9.2,8.4,9.5,7.9,8.7,2022,기아 쏘렌토,기아,2.0,경차
1334,1385,2023 BMW iX M60,,,전기,,,,,,"4,955mm / 1,965mm","1,695mm / 3,000mm","1,659mm / 1,689mm","2,620kg",275mm / 40 / 22inch,275mm / 40 / 22inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,397kW532.4hp (단순환산치),"1,015Nm103.5kg.m (단순환산치)",421km,111.5kWh,리튬 이온,250km/h,3.8초,2023 BMW iX M60,9.9,8.3,9.8,9.8,9.6,10.0,9.6,2023,BMW iX M60,BMW,,대형/프리미엄
1335,1386,2022 렉서스 NX 하이브리드,I4,자연흡기,가솔린,"2,487cc",189hp 합산 242hp,24.7kg.m,,114g/km,"4,660mm / 1,865mm","1,670mm / 2,690mm","1,605mm / 1,625mm","1,850kg",235mm / 50 / 20inch,235mm / 50 / 20inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2022 렉서스 NX 하이브리드,9.6,8.1,9.1,9.8,9.7,9.8,9.4,2022,렉서스 NX 하이브리드,렉서스,2.0,경차
1336,1387,2021 메르세데스-AMG CLA,I4,싱글터보,가솔린,"1,991cc",421hp,51kg.m,,194g/km,"4,695mm / 1,855mm","1,405mm / 2,730mm","1,604mm / 1,585mm","1,700kg",255mm / 35 / 19inch,255mm / 35 / 19inch,상시사륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,270km/h,4초,2021 메르세데스-벤츠 AMG CLA,9.6,7.7,8.0,8.7,9.9,8.1,8.7,2021,메르세데스-벤츠 AMG CLA,메르세데스-벤츠,1.0,경차
1338,1389,2021 메르세데스-벤츠 GLC,I4,싱글터보,디젤,"1,950cc",194hp,40.8kg.m,,154g/km,"4,670mm / 1,890mm","1,645mm / 2,875mm","1,617mm / 1,613mm","1,910kg",235mm / 55 / 19inch,235mm / 55 / 19inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,215km/h,7.7초,2021 메르세데스-벤츠 GLC,9.3,7.8,8.6,8.9,9.6,8.2,8.7,2021,메르세데스-벤츠 GLC,메르세데스-벤츠,1.0,경차
1339,1390,2020 K3,l4,자연흡기,가솔린,"1,598cc",123hp,15.7kg.m,,108~114g/km,"4,640mm / 1,800mm","1,440mm / 2,700mm","1,555~1,563mm / 1,564~1,572mm","1,235~1,260kg",195~205mm / 55~65 / 15~16inch,195~205mm / 55~65 / 15~16inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,,2020 기아 K3,8.9,8.9,8.5,8.5,9.1,9.0,8.8,2020,기아 K3,기아,1.0,경차
1346,1397,2017 렉서스 IS F 스포츠,l4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,,170g/km,"4,680mm / 1,810mm","1,430mm / 2,800mm","1,535mm / 1,550mm","1,670kg",225mm / 40 / 18inch,255mm / 35 / 18inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2017 렉서스 IS F 스포츠,9.3,8.4,8.2,9.6,9.3,7.0,8.6,2017,렉서스 IS F 스포츠,렉서스,1.0,경차
1347,1398,2021 렉서스 RX,V6,자연흡기,가솔린,"3,456cc",301hp,37.7kg.m,,193g/km,"4,890mm / 1,895mm","1,710mm / 2,790mm","1,640mm / 1,630mm","2,045kg",235mm / 55 / 20inch,235mm / 55 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2021 렉서스 RX,9.4,8.5,9.5,9.5,9.2,8.9,9.2,2021,렉서스 RX,렉서스,3.0,경차
1348,1399,2022 K3 GT,I4,싱글터보,가솔린,"1,591cc",204hp,27kg.m,,139g/km,"4,515mm / 1,800mm","1,440mm / 2,700mm","1,545mm / 1,559mm","1,400kg",225mm / 40 / 18inch,225mm / 40 / 18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2022 기아 K3 GT,9.3,9.0,9.0,9.1,9.6,8.9,9.1,2022,기아 K3 GT,기아,1.0,경차
1349,1400,2016 BMW 4시리즈 컨버터블,I4 직분사 터보,싱글터보,가솔린,"1,997cc",245hp,35.7kg.m,,161g/km,"4,638mm / 1,825mm","1,384mm / 2,810mm","1,545mm / 1,594mm","1,705kg",225mm / 40 / 19inch,255mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,6.4초,2016 BMW 4시리즈 컨버터블,9.4,8.5,7.5,9.0,9.7,8.4,8.8,2016,BMW 4시리즈 컨버터블,BMW,1.0,경차
1350,1401,2016 BMW 6시리즈 컨버터블,V8 직분사,트윈터보,가솔린,"4,395cc",450hp,66.3kg.m,,214g/km,"4,894mm / 1,894mm","1,365mm / 2,855mm","1,600mm / 1,657mm","1,930kg",245mm / 35 / 20inch,275mm / 30 / 20inch,앞엔진 후륜 구동,토크컨버터8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.6초,2016 BMW 6시리즈 컨버터블,9.7,7.9,8.2,9.3,9.9,8.6,8.9,2016,BMW 6시리즈 컨버터블,BMW,4.0,경차
1352,1403,2019 렉서스 CT 하이브리드,I4,자연흡기,가솔린,"1,798cc",99hp 합산 136hp,14.5kg.m,,93g/km,"4,355mm / 1,765mm","1,455mm / 2,600mm","1,525mm / 1,520mm","1,455kg",205mm / 55 / 16inch,205mm / 55 / 16inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2019 렉서스 CT 하이브리드,9.2,8.3,8.8,9.6,9.4,9.7,9.2,2019,렉서스 CT 하이브리드,렉서스,1.0,경차
1353,1404,2023 QM6,I4,자연흡기,가솔린,"1,997cc",144hp,20.4kg.m,,140~146g/km,"4,675mm / 1,845mm","1,700mm / 2,705mm","1,595mm / 1,590mm","1,535~1,570kg",225mm / 55~60 / 18~19inch,225mm / 55~60 / 18~19inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2023 르노코리아 QM6,8.7,9.4,8.9,8.7,9.3,7.9,8.8,2023,르노코리아 QM6,르노코리아,1.0,경차
1354,1405,2018 메르세데스-벤츠 GLC,I4,싱글터보,디젤,"2,143cc",204hp,40.8kg.m,,,"4,660mm / 1,870mm","1,650mm / 2,875mm","1,610mm / 1,610mm","1,990kg",,,상시사륜 구동,자동9단,코일 스프링,코일 스프링,V디스크,V디스크,랙 앤 피니언,,,,,,222km/h,7.6초,2018 메르세데스-벤츠 GLC,9.3,7.8,8.6,8.9,9.6,8.2,8.7,2018,메르세데스-벤츠 GLC,메르세데스-벤츠,2.0,경차
1355,1406,2020 쏘렌토,I4,싱글터보,디젤,"2,151cc",202hp,45kg.m,,133g/km,"4,810mm / 1,900mm","1,695~1,700mm / 2,815mm","1,646mm / 1,656mm","1,755kg",235mm / 60 / 18inch,235mm / 60 / 18inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2020 기아 쏘렌토,9.3,8.1,9.2,8.4,9.5,7.9,8.7,2020,기아 쏘렌토,기아,2.0,경차
1356,1407,2021 BMW M4,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,,206g/km,"4,795mm / 1,885mm","1,400mm / 2,855mm",,"1,745kg",275mm / 35 / 19inch,285mm / 30 / 20inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.9초,2021 BMW M4,9.9,8.0,8.8,9.4,9.4,7.0,8.7,2021,BMW M4,BMW,2.0,경차
1357,1408,2015 쏘나타,I4 직분사,싱글터보,가솔린,"1,998cc",245hp,36kg.m,,164g/km,"4,855mm / 1,865mm","1,475mm / 2,805mm","1,597mm / 1,604mm","1,570kg",235mm / 45 / 18inch,235mm / 45 / 18inch,,토크컨버터6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2015 현대 쏘나타,8.9,8.9,9.0,8.6,8.9,7.9,8.7,2015,현대 쏘나타,현대,1.0,경차
1358,1409,2022 테슬라 모델 Y,,,전기,,,,,,"4,750mm / 1,921mm","1,624mm / 2,890mm",,"2,000kg",255mm / 45 / 19inch,255mm / 45 / 19inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,258kW346.0hp (단순환산치),527Nm53.7kg.m (단순환산치),511km,75kWh,리튬 이온,217km/h,5초,2022 테슬라 모델 Y,9.8,8.9,9.5,8.7,9.5,9.4,9.3,2022,테슬라 모델 Y,테슬라,,대형/프리미엄
1362,1413,2014 K7 하이브리드,I4,자연흡기,가솔린,"2,359cc",159hp 합산 207hp,21kg.m,,106g/km,"4,970mm / 1,850mm","1,475mm / 2,845mm","1,602mm / 1,601mm","1,690kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,디스크,디스크,랙 앤드 피니언,,,,,,,,2014 기아 K7 하이브리드,8.7,8.7,8.9,8.5,8.4,8.8,8.7,2014,기아 K7 하이브리드,기아,2.0,경차
1363,1414,2021 BMW 7시리즈,I6,싱글터보,디젤,"2,993cc",265hp,63.2kg.m,,150g/km,"5,120mm / 1,902mm","1,467mm / 3,070mm","1,617mm / 1,646mm","1,880kg",245mm / 40 / 20inch,275mm / 35 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5.8초,2021 BMW 7시리즈,9.8,8.8,9.3,9.5,9.4,9.1,9.3,2021,BMW 7시리즈,BMW,2.0,경차
1365,1416,2015 엑센트,I4 VVT,자연흡기,가솔린,"1,368cc",100hp,13.6kg.m,,113~122g/km,"4,370mm / 1,705mm","1,455mm / 2,570mm","1,488mm / 1,493mm","1,035~1,095kg",175~195mm / 50~70 / 14~16inch,175~195mm / 50~70 / 14~16inch,앞엔진 전륜 구동,"수동6단, CVT",맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,,2015 현대 엑센트,8.7,9.0,8.0,8.2,8.2,8.8,8.5,2015,현대 엑센트,현대,1.0,경차
1366,1417,2022 GV70,I4,싱글터보,디젤,"2,151cc",202hp,45kg.m,,141g/km,"4,715mm / 1,910mm","1,630mm / 2,875mm","1,651mm / 1,667mm","1,895kg",235mm / 60 / 18inch,235mm / 60 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2022 제네시스 GV70,9.5,7.9,9.1,9.2,9.8,6.2,8.6,2022,제네시스 GV70,제네시스,2.0,경차
1367,1418,2015 제네시스 쿠페,I4 2.0 Tci,싱글터보,가솔린,"1,998cc",275hp,38kg.m,,177~180g/km,"4,630mm / 1,865mm","1,385mm / 2,820mm","1,601~1,605mm / 1,621~1,625mm","1,525~1,550kg",225mm / 40~45 / 18~19inch,245mm / 40~45 / 18~19inch,앞엔진 후륜 구동,"수동6단, 자동8단",듀얼 맥퍼슨,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,7.2초,2015 제네시스 제네시스 쿠페,9.1,9.0,7.2,8.2,9.2,5.0,7.9,2015,제네시스 제네시스 쿠페,제네시스,1.0,경차
1369,1420,2018 렉서스 RX 하이브리드,V6,자연흡기,가솔린,"3,456cc",262hp 합산 313hp,34.2kg.m,,129g/km,"4,890mm / 1,895mm","1,710mm / 2,790mm","1,640mm / 1,630mm","2,175kg",235mm / 55~65 / 18~20inch,235mm / 55~65 / 18~20inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2018 렉서스 RX 하이브리드,9.4,8.5,9.5,9.5,9.2,8.9,9.2,2018,렉서스 RX 하이브리드,렉서스,3.0,경차
1371,1422,2023 스포티지,I4,싱글터보,가솔린,"1,598cc",180hp,27kg.m,,133~139g/km,"4,660mm / 1,865mm","1,660~1,680mm / 2,755mm","1,615~1,620mm / 1,622~1,627mm","1,525~1,555kg",235mm / 55~65 / 17~19inch,235mm / 55~65 / 17~19inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2023 기아 스포티지,8.9,7.7,9.2,8.8,9.6,7.9,8.7,2023,기아 스포티지,기아,1.0,경차
1372,1423,2024 아이오닉 6,,,전기,,,,,,"4,855mm / 1,880mm","1,495mm / 2,950mm","1,635mm / 1,644mm","1,800kg",225mm / 55 / 18inch,225mm / 55 / 18inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,111kW148.9hp (단순환산치),350Nm35.7kg.m (단순환산치),367km,53kWh,리튬 이온,,,2024 현대 아이오닉 6,9.7,7.6,9.0,8.9,8.6,9.3,8.8,2024,현대 아이오닉 6,현대,,대형/프리미엄
1373,1424,2016 카렌스,I4 직분사 디젤,싱글터보,디젤,"1,685cc",140hp,33kg.m,,,"4,525mm / 1,805mm","1,610mm / 2,750mm","1,573mm / 1,586mm","1,520kg",205mm / 55 / 17inch,205mm / 55 / 17inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,,2016 기아 카렌스,8.5,9.1,8.7,8.6,8.0,8.2,8.5,2016,기아 카렌스,기아,1.0,경차
1374,1425,2020 투싼,l4,싱글터보,가솔린,"1,591cc",177hp,27kg.m,,141~148g/km,"4,475~4,480mm / 1,850mm","1,645~1,650mm / 2,670mm","1,608mm / 1,620mm","1,515~1,550kg",225~245mm / 45~60 / 17~19inch,225~245mm / 45~60 / 17~19inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2020 현대 투싼,8.9,8.7,8.7,8.5,9.0,8.2,8.7,2020,현대 투싼,현대,1.0,경차
1379,1430,2023 메르세데스-AMG CLS,I6,트윈터보,가솔린,"2,999cc",435hp,53kg.m,,189g/km,"4,995mm / 1,895mm","1,420mm / 2,940mm","1,647mm / 1,637mm","2,060kg",245mm / 35 / 20inch,275mm / 30 / 20inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.5초,2023 메르세데스-벤츠 AMG CLS,9.6,8.2,8.1,8.9,9.7,8.6,8.9,2023,메르세데스-벤츠 AMG CLS,메르세데스-벤츠,2.0,경차
1381,1432,2014 엑센트,I4 1.4,자연흡기,가솔린,"1,368cc",100hp,13.6kg.m,,113g/km,"4,370mm / 1,705mm","1,455mm / 2,570mm","1,488~1,506mm / 1,493~1,511mm","1,035~1,095kg",175~195mm / 50~70 / 14~16inch,175~195mm / 50~70 / 14~16inch,앞엔진 전륜 구동,"수동6단, CVT",맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,,2014 현대 엑센트,8.7,9.0,8.0,8.2,8.2,8.8,8.5,2014,현대 엑센트,현대,1.0,경차
1382,1433,2014 그랜저 하이브리드,I4,자연흡기,가솔린,"2,359cc",159hp 합산 204hp,21kg.m,,105g/km,"4,910mm / 1,860mm","1,470mm / 2,845mm","1,613mm / 1,614mm","1,680kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤드 피니언,,,,,,,,2014 현대 그랜저 하이브리드,9.3,8.9,9.3,9.1,9.1,9.0,9.1,2014,현대 그랜저 하이브리드,현대,2.0,경차
1388,1439,2021 렉서스 LC,V8,자연흡기,가솔린,"4,969cc",477hp,55.1kg.m,,226g/km,"4,760mm / 1,920mm","1,345mm / 2,870mm","1,630mm / 1,635mm","1,970kg",245mm / 40 / 21inch,275mm / 35 / 21inch,앞엔진 후륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2021 렉서스 LC,10.0,7.7,10.0,10.0,10.0,7.3,9.2,2021,렉서스 LC,렉서스,4.0,경차
1389,1440,2020 렉서스 RX 하이브리드,V6,자연흡기,가솔린,"3,456cc",262hp 합산 313hp,34.2kg.m,,129g/km,"4,890mm / 1,895mm","1,710mm / 2,790mm","1,640mm / 1,630mm","2,175kg",235mm / 65 / 18inch,235mm / 65 / 18inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2020 렉서스 RX 하이브리드,9.4,8.5,9.5,9.5,9.2,8.9,9.2,2020,렉서스 RX 하이브리드,렉서스,3.0,경차
1390,1441,2014 맥스크루즈,I4 직분사,싱글터보,디젤,"2,199cc",200hp,44.5kg.m,,168g/km,"4,915mm / 1,885mm","1,690mm / 2,800mm","1,628mm / 1,639mm","1,840kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2014 현대 맥스크루즈,9.2,8.8,9.3,8.8,8.7,8.1,8.8,2014,현대 맥스크루즈,현대,2.0,경차
1391,1442,2020 BMW M8,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,,230g/km,"4,865mm / 1,905mm","1,380mm / 2,827mm","1,627mm / 1,632mm","1,920kg",275mm / 35 / 20inch,285mm / 35 / 20inch,상시사륜 구동,토크컨버터8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.2초,2020 BMW M8,10.0,10.0,8.0,8.0,10.0,8.0,9.0,2020,BMW M8,BMW,4.0,경차
1398,1449,2019 테슬라 모델 X,,,전기,,,,,,"5,050mm / 2,000mm","1,625mm / 2,965mm","1,661mm / 1,699mm","2,459kg",255mm / 45 / 20inch,275mm / 45 / 20inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,311kW417.1hp (단순환산치),660Nm67.3kg.m (단순환산치),438km,100kWh,리튬 이온,250km/h,4.6초,2019 테슬라 모델 X,9.9,7.9,9.6,7.4,9.1,9.2,8.8,2019,테슬라 모델 X,테슬라,,대형/프리미엄
1400,1451,2020 메르세데스-벤츠 CLA,I4,싱글터보,가솔린,"1,991cc",224hp,35.7kg.m,,150g/km,"4,695mm / 1,830mm","1,435mm / 2,730mm","1,603mm / 1,597mm","1,550kg",225mm / 45 / 18inch,225mm / 45 / 18inch,상시사륜 구동,DCT7단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,6.3초,2020 메르세데스-벤츠 CLA,9.6,7.7,8.0,8.7,9.9,8.1,8.7,2020,메르세데스-벤츠 CLA,메르세데스-벤츠,1.0,경차
1401,1452,2024 봉고3 EV,,,전기,,,,,,"5,115mm / 1,740mm","1,995mm / 2,810mm","1,490mm / 1,340mm","1,935kg",195mm / 70 / 15inch,145mm / 0 / 13inch,뒤엔진 후륜 구동,자동1단,더블 위시본,리지드,디스크,디스크,랙 앤 피니언,135kW181.0hp (단순환산치),395Nm40.3kg.m (단순환산치),211km,58.8kWh,리튬 이온,,,2024 기아 봉고3 EV,8.8,7.4,7.2,7.7,7.5,6.0,7.1,2024,기아 봉고3 EV,기아,,대형/프리미엄
1402,1453,2016 싼타페,I4 직분사 디젤,싱글터보,디젤,"1,995cc",186hp,41kg.m,,143~151g/km,"4,700mm / 1,880mm","1,680~1,690mm / 2,700mm","1,628mm / 1,639mm","1,790~1,800kg",235mm / 55~60 / 18~19inch,235mm / 55~60 / 18~19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2016 현대 싼타페,9.1,8.8,8.9,8.8,9.1,8.2,8.8,2016,현대 싼타페,현대,1.0,경차
1403,1454,2021 BMW 3시리즈,I4,싱글터보,가솔린,"1,998cc",184hp,30.6kg.m,,154g/km,"4,710mm / 1,825mm","1,435mm / 2,851mm","1,589mm / 1,604mm","1,605kg",225mm / 45~50 / 17~18inch,225mm / 45~50 / 17~18inch,앞엔진 후륜 구동,토크컨버터8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,7.1초,2021 BMW 3시리즈,9.8,8.5,8.6,9.4,9.7,8.7,9.1,2021,BMW 3시리즈,BMW,1.0,경차
1405,1456,2024 BMW M4,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,,206g/km,"4,795mm / 1,885mm","1,400mm / 2,855mm",,"1,796kg",275mm / 35 / 19inch,285mm / 30 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.5초,2024 BMW M4,9.9,8.0,8.8,9.4,9.4,7.0,8.7,2024,BMW M4,BMW,2.0,경차
1408,1460,2020 K7 하이브리드,I4,자연흡기,가솔린,"2,359cc",159hp,21kg.m,,97g/km,"4,995mm / 1,870mm","1,470mm / 2,855mm","1,612mm / 1,620mm","1,675kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2020 기아 K7 하이브리드,9.4,8.9,9.5,9.1,9.4,9.4,9.3,2020,기아 K7 하이브리드,기아,2.0,경차
1409,1461,2014 렉서스 LS,V8,자연흡기,가솔린,"4,608cc",380hp,51kg.m,,226g/km,"5,090mm / 1,875mm","1,465mm / 2,970mm","1,610mm / 1,615mm","2,030kg",235mm / 50 / 18inch,235mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2014 렉서스 LS,9.6,7.9,9.4,9.6,9.1,7.3,8.8,2014,렉서스 LS,렉서스,4.0,경차
1417,1469,2016 렉서스 IS F 스포츠 ,l4 VVT-iW,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,,170g/km,"4,665mm / 1,810mm","1,430mm / 2,800mm","1,535mm / 1,540mm","1,625kg",225mm / 45 / 17inch,225mm / 45 / 17inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,6.9초,2016 렉서스 IS F 스포츠,9.3,8.4,8.2,9.6,9.3,7.0,8.6,2016,렉서스 IS F 스포츠,렉서스,1.0,경차
