,Unnamed: 0,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비_x,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능,풀네임,주행,가격,거주성,품질,디자인,연비_y,종합점수,연도,차이름,브랜드,배기량_num,차급
88,95,2014 K9,V6 직분사,자연흡기,가솔린,"3,342cc",300hp,35.5kg.m,,186~190g/km,"5,090mm / 1,900mm","1,490mm / 3,045mm",,"1,870kg",245mm / 45~50 / 18~19inch,245~275mm / 40~50 / 18~19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2014 기아 K9,9.4,8.9,9.4,9.1,8.5,6.7,8.7,2014,기아 K9,기아,3.0,경차
90,97,2016 렉서스 RX,V6 Dual VVT-iW,자연흡기,가솔린,"3,456cc",301hp,37.7kg.m,,193g/km,"4,890mm / 1,895mm","1,710mm / 2,790mm","1,640mm / 1,630mm","2,045kg",235mm / 55 / 20inch,235mm / 55 / 20inch,상시사륜 구동,토크컨버터8단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙앤 피니언,,,,,,,,2016 렉서스 RX,9.4,8.5,9.5,9.5,9.2,8.9,9.2,2016,렉서스 RX,렉서스,3.0,경차
91,98,2020 K7,I4,자연흡기,가솔린,"2,497cc",198hp,25.3kg.m,,142~147g/km,"4,995mm / 1,870mm","1,470mm / 2,855mm","1,602mm / 1,610mm","1,565~1,580kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2020 기아 K7,8.8,8.7,9.2,8.4,9.3,7.8,8.7,2020,기아 K7,기아,2.0,경차
93,100,2020 렉서스 LS 하이브리드,V6,자연흡기,가솔린,"3,456cc",262hp 합산 313hp,34.2kg.m,,129g/km,"4,890mm / 1,895mm","1,710mm / 2,790mm","1,640mm / 1,630mm","2,175kg",235mm / 65 / 18inch,235mm / 65 / 18inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2020 렉서스 LS 하이브리드,9.3,8.2,9.2,9.5,9.5,7.5,8.9,2020,렉서스 LS 하이브리드,렉서스,3.0,경차
95,102,2017 SM7,V6,자연흡기,가솔린,"2,495cc",190hp,24.8kg.m,,174g/km,"4,995mm / 1,870mm","1,480mm / 2,810mm","1,565mm / 1,565mm","1,635kg",225mm / 50 / 17inch,225mm / 50 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2017 르노코리아 SM7,8.6,9.1,8.7,8.4,8.4,7.1,8.4,2017,르노코리아 SM7,르노코리아,2.0,경차
102,109,2020 렉서스 RC F 스포츠,l4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,,175g/km,"4,700mm / 1,840mm","1,395mm / 2,730mm","1,580mm / 1,570mm","1,705kg",235mm / 40 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2020 렉서스 RC F 스포츠,9.7,6.8,8.3,10.0,9.7,4.5,8.2,2020,렉서스 RC F 스포츠,렉서스,1.0,경차
103,110,2021 테슬라 모델 3,,,전기,,,,,,"4,694mm / 1,849mm","1,443mm / 2,875mm","1,580mm / 1,580mm","1,645kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,211kW283.0hp (단순환산치),375Nm38.2kg.m (단순환산치),383km,50kWh,리튬 이온,225km/h,5.6초,2021 테슬라 모델 3,9.9,8.8,8.7,7.9,9.4,9.3,9.0,2021,테슬라 모델 3,테슬라,,대형/프리미엄
105,112,2023 BMW M3,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,,208g/km,"4,795mm / 1,905mm","1,440mm / 2,855mm",,"1,810kg",275mm / 35 / 19inch,285mm / 30 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.5초,2023 BMW M3,9.6,8.0,8.1,9.1,9.0,6.9,8.4,2023,BMW M3,BMW,2.0,경차
106,113,2018 쏘울 EV,,,전기,,,,,,"4,140mm / 1,800mm","1,600mm / 2,570mm","1,576mm / 1,585mm","1,530kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,자동,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,81.4kW109.2hp (단순환산치),285Nm29.1kg.m (단순환산치),180km,30kWh,리튬이온 폴리머,,,2018 기아 쏘울 EV,9.0,9.0,8.6,8.5,8.4,6.4,8.3,2018,기아 쏘울 EV,기아,,대형/프리미엄
107,114,2014 봉고3,I4 직분사 디젤,싱글터보,디젤,"2,497cc",133hp,26.5kg.m,,,"5,430mm / 1,750mm","2,085mm / 2,810mm","1,470mm / 1,270mm",,,,앞엔진 후륜 구동,수동6단,,,디스크,,,,,,,,,,2014 기아 봉고3,8.1,7.8,7.1,7.6,7.5,6.6,7.5,2014,기아 봉고3,기아,2.0,경차
109,116,2024 BMW X3,I4,싱글터보,가솔린,"1,998cc",184hp,29.5kg.m,,173g/km,"4,710mm / 1,890mm","1,675mm / 2,865mm",,"1,895kg",245mm / 50 / 19inch,245mm / 50 / 19inch,상시사륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,8.3초,2024 BMW X3,9.6,8.5,9.0,9.4,9.6,8.6,9.1,2024,BMW X3,BMW,1.0,경차
110,117,2023 렉서스 RZ,,,전기,,,,,,"4,805mm / 1,895mm","1,635mm / 2,850mm",,"2,090kg",235mm / 60 / 18inch,255mm / 55 / 18inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,230kW308.4hp (단순환산치),435Nm44.4kg.m (단순환산치),377km,71.4kWh,리튬 이온,,,2023 렉서스 RZ,10.0,9.3,10.0,10.0,9.7,7.7,9.4,2023,렉서스 RZ,렉서스,,대형/프리미엄
111,119,2022 BMW Z4,l4,싱글터보,가솔린,"1,998cc",197hp,32.7kg.m,,159g/km,"4,325mm / 1,865mm","1,310mm / 2,470mm","1,609mm / 1,616mm","1,495kg",255mm / 35 / 19inch,275mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,6.6초,2022 BMW Z4,9.5,9.2,7.2,9.4,9.6,8.6,8.9,2022,BMW Z4,BMW,1.0,경차
114,122,2018 아이오닉 일렉트릭 ,,,전기,,,,,,"4,470mm / 1,820mm","1,450mm / 2,700mm","1,555mm / 1,564mm","1,430kg",205mm / 55 / 16inch,205mm / 55 / 16inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,88kW118.0hp (단순환산치),295Nm30.1kg.m (단순환산치),200km,28kWh,리튬이온 폴리머,,,2018 현대 아이오닉 일렉트릭,9.5,9.0,8.7,9.1,8.5,7.1,8.6,2018,현대 아이오닉 일렉트릭,현대,,대형/프리미엄
