,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
1582,2017 K3,l4,싱글터보,디젤,"1,582cc",134hp,30.6kg.m,"복합 0~19.1km/ℓ 도심 0~17.6km/ℓ, 고속 0~21.2km/ℓ",0~108g/km,"4,560mm / 1,780mm","1,435mm / 2,700mm","0~1,555mm / 0~1,568mm","0~1,335kg",195~215mm / 45~65 / 15~17inch,195~215mm / 45~65 / 15~17inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,
1583,2022 BMW X1,I4,싱글터보,디젤,"1,995cc",150hp,35.7kg.m,"복합 13.3km/ℓ 도심 12.1km/ℓ, 고속 15.2km/ℓ",143g/km,"4,445mm / 1,820mm","1,600mm / 2,670mm","1,561mm / 1,562mm","1,700kg",225mm / 50 / 18inch,225mm / 50 / 18inch,상시사륜 구동,자동8단,싱글 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,204km/h,9.4초
1584,2004 카렌스,DOHC,,가솔린,"1,975cc",138hp,17.8kg.m,"복합 11.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,490mm / 1,750mm","1,610mm / 2,570mm","1,490mm / 1,485mm","1,420kg",195mm / 60 / 15inch,195mm / 60 / 15inch,앞엔진 전륜 구동,수동5단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,185km/h,
1585,2008 BMW M3 쿠페,V형 8기통,,가솔린,"3,999cc",420hp,40.8kg.m,"복합 6.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,615mm / 1,804mm","1,424mm / 2,761mm","1,538mm / 1,539mm",,245mm / 40 / 18inch,265mm / 40 / 18inch,앞엔진 후륜 구동,자동7단,0,0,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.6초
1586,2015 메르세데스-AMG SL,V8,트윈터보,가솔린,"5,461cc",537hp,81.6kg.m,"복합 7.8km/ℓ 도심 6.7km/ℓ, 고속 9.7km/ℓ",230g/km,"4,640mm / 1,885mm","1,310mm / 2,585mm","1,625mm / 1,610mm","1,855kg",255mm / 35 / 19inch,285mm / 30 / 20inch,앞엔진 후륜 구동,자동7단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,300km/h,4.3초
1587,2020 BMW X5,l6,싱글터보,디젤,"2,993cc",265hp,63.2kg.m,"복합 10km/ℓ 도심 9.2km/ℓ, 고속 11.1km/ℓ",195g/km,"4,922mm / 2,004mm","1,745mm / 2,975mm","1,666mm / 1,685mm","0~2,110kg",275mm / 45 / 20inch,305~315mm / 35~40 / 20~21inch,상시사륜 구동,자동8단,더블 위시본,5 링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,6.5초
1588,2011 렉서스 LS 하이브리드,V8,자연흡기,가솔린,"4,969cc",389hp 합산 438hp,53kg.m,"복합 9.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",246g/km,"5,180mm / 1,875mm","1,465mm / 3,090mm","1,610mm / 1,610mm","2,365kg",235~245mm / 45~50 / 18~19inch,235~245mm / 45~50 / 18~19inch,상시사륜 구동,CVT8단,멀티링크 코일스프링,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,
1589,2023 G90,V6,트윈터보,가솔린,"3,470cc",380hp,54kg.m,"복합 9.3km/ℓ 도심 8km/ℓ, 고속 11.5km/ℓ",184g/km,"5,275mm / 1,930mm","1,490mm / 3,180mm","1,650mm / 1,682mm","2,025kg",245mm / 50 / 19inch,245mm / 50 / 19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1590,2012 SM7,V6 2.5 VQ,,가솔린,"2,495cc",190hp,24.8kg.m,"복합 11km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",212g/km,"4,995mm / 1,870mm","1,480mm / 2,810mm","1,565mm / 1,565mm","0~1,635kg",225mm / 45~50 / 17~18inch,225mm / 45~50 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V 디스크,디스크,랙 앤 피니언,,,,,,,
1591,2012 SM5,I4 CVTC II,,가솔린,"1,998cc",141hp,19.8kg.m,"복합 14.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",166g/km,"4,885mm / 1,830mm","1,490mm / 2,760mm","1,565mm / 1,560mm","1,470kg",205~225mm / 45~60 / 16~18inch,205~225mm / 45~60 / 16~18inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
1592,2010 i30,1.6 VVT,,가솔린,"1,591cc",124hp,15.9kg.m,"복합 15.2~16km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",146~154g/km,"4,245mm / 1,775mm","1,480mm / 2,650mm","1,545mm / 1,545mm","1,227~1,247kg",185~215mm / 45~65 / 15~17inch,185~215mm / 45~65 / 15~17inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,멀티링크 코일스프링,"디스크,V디스크",디스크,랙 앤 피니언,,,,,,,
1593,2024 쏘나타 하이브리드,I4,자연흡기,가솔린,"1,999cc",152hp 합산 195hp,19.2kg.m,"복합 17.1~19.4km/ℓ 도심 16.8~19.8km/ℓ, 고속 17.4~18.9km/ℓ",81~93g/km,"4,910mm / 1,860mm","1,445mm / 2,840mm","1,618~1,633mm / 1,625~1,640mm","1,550~1,585kg",205~235mm / 45~65 / 16~18inch,205~235mm / 45~65 / 16~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1594,2022 BMW i4 M50,,,전기,,,,"복합 4.1km/kWh 도심 4.1km/kWh, 고속 4.1km/kWh",,"4,785mm / 1,850mm","1,450mm / 2,855mm",,"2,260kg",245mm / 40 / 19inch,255mm / 40 / 19inch,상시사륜 구동,자동1단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,400kW536.4hp (단순환산치),795Nm81.1kg.m (단순환산치),378km,84kWh,리튬 이온,225km/h,3.9초
1595,2018 렉서스 RC F 스포츠,l4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,"복합 9.9km/ℓ 도심 8.6km/ℓ, 고속 12.2km/ℓ",175g/km,"4,695mm / 1,840mm","1,395mm / 2,730mm","1,590mm / 1,575mm","1,695kg",235mm / 40 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1596,2016 아이오닉 일렉트릭,,,,,,,"복합 6.3km/kWh 도심 6.9km/kWh, 고속 5.8km/kWh",,"4,470mm / 1,820mm","1,450mm / 2,700mm","1,555mm / 1,564mm","1,445kg",205mm / 55 / 16inch,205mm / 55 / 16inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,165km/h,10.2초
1597,2025 GV80,I4,싱글터보,가솔린,"2,497cc",304hp,43kg.m,"복합 9.3km/ℓ 도심 8.2km/ℓ, 고속 11km/ℓ",183g/km,"4,940mm / 1,975mm","1,715mm / 2,955mm","1,674mm / 1,689mm","2,075kg",265mm / 55 / 19inch,265mm / 55 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1598,2004 베르나,1.3 SOHC,,가솔린,"1,341cc",85hp,12kg.m,"복합 12.2~15.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,260mm / 1,680mm","1,395mm / 2,440mm","1,435mm / 1,425mm","1,044~1,069kg",175mm / 70 / 13inch,175mm / 70 / 13inch,앞엔진 전륜 구동,"수동, 자동",맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,드럼,랙 앤 피니언,,,,,,,
1599,2024 니로 하이브리드,I4,자연흡기,가솔린,"1,580cc",104hp,14.7kg.m,"복합 19.1~20.8km/ℓ 도심 20~21.9km/ℓ, 고속 18.1~19.6km/ℓ",75~82g/km,"4,420mm / 1,825mm","1,545mm / 2,720mm","1,573~1,585mm / 1,585~1,596mm","1,405~1,445kg",205~225mm / 45~60 / 16~18inch,205~225mm / 45~60 / 16~18inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1600,2024 GV60,,,전기,,,,"복합 5.1km/kWh 도심 5.7km/kWh, 고속 4.5km/kWh",,"4,515mm / 1,890mm","1,580mm / 2,900mm","1,633mm / 1,642mm","1,985kg",235mm / 55 / 19inch,235mm / 55 / 19inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,168kW225.3hp (단순환산치),350Nm35.7kg.m (단순환산치),451km,77.4kWh,리튬 이온,,
1601,2016 BMW X3,l4,싱글터보,디젤,"1,995cc",190hp,40.8kg.m,"복합 13.5km/ℓ 도심 12.3km/ℓ, 고속 15.3km/ℓ",146g/km,"4,657mm / 1,881mm","1,678mm / 2,810mm","1,616mm / 1,632mm","1,745kg",245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1602,2024 메르세데스-EQ EQE SUV,,,전기,,,,"복합 3.9km/kWh 도심 4km/kWh, 고속 3.7km/kWh",,"4,870mm / 1,920mm","1,685mm / 3,030mm","1,650mm / 1,663mm","2,540kg",255mm / 45 / 20inch,255mm / 45 / 20inch,상시사륜 구동,자동1단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,215kW288.3hp (단순환산치),765Nm78.0kg.m (단순환산치),404km,90.5kWh,리튬 이온,210km/h,6.6초
1603,2023 XM3,I4,자연흡기,가솔린,"1,598cc",123hp,15.8kg.m,"복합 13.4~13.6km/ℓ 도심 12.1~12.3km/ℓ, 고속 15.4~15.6km/ℓ",121~123g/km,"4,570mm / 1,820mm","1,570mm / 2,720mm","1,565mm / 1,585mm","1,300kg",215mm / 60~65 / 16~17inch,215mm / 60~65 / 16~17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,
1604,2012 제네시스 쿠페,I4 2.0 TCi,,가솔린,"1,998cc",260~275hp,36~38kg.m,"복합 9.9~10km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",177~180g/km,"4,630mm / 1,865mm","1,385mm / 2,820mm","1,601~1,605mm / 1,621~1,625mm","1,525~1,550kg",225mm / 40~45 / 18~19inch,245mm / 40~45 / 18~19inch,앞엔진 후륜 구동,"수동6단, 자동8단",맥퍼슨 스트럿,5링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,7.2초
1605,2018 QM3,l4,싱글터보,디젤,"1,461cc",90hp,22.4kg.m,"복합 17.3~17.4km/ℓ 도심 16.3~16.4km/ℓ, 고속 18.6~18.7km/ℓ",107g/km,"4,125mm / 1,780mm","1,565mm / 2,605mm","1,530mm / 1,515mm","1,300kg",205mm / 55 / 17inch,205mm / 55 / 17inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,토션빔,V디스크,드럼,랙 앤 피니언,,,,,,,
1606,2024 렉서스 LC 컨버터블,V8,자연흡기,가솔린,"4,969cc",477hp,55.1kg.m,"복합 7.5km/ℓ 도심 6.1km/ℓ, 고속 10.5km/ℓ",230g/km,"4,760mm / 1,920mm","1,350mm / 2,870mm","1,630mm / 1,635mm","2,060kg",245mm / 40 / 21inch,275mm / 35 / 21inch,앞엔진 후륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1607,2011 포르테,1.6 GDI,,가솔린,"1,591cc",140hp,17kg.m,"복합 16.5~17.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",134~142g/km,"4,530mm / 1,775mm","1,460mm / 2,650mm","1,539~1,557mm / 1,546~1,564mm","1,173~1,190kg",185~215mm / 45~65 / 15~17inch,185~215mm / 45~65 / 15~17inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,토션빔 액슬,디스크,"드럼,디스크",볼너트,,,,,,,
1608,2019 K7,l4,자연흡기,가솔린,"2,359cc",190hp,24.6kg.m,"복합 11.1~11.2km/ℓ 도심 9.6~9.8km/ℓ, 고속 13.5~13.6km/ℓ",150~152g/km,"4,970mm / 1,870mm","1,470mm / 2,855mm","1,602mm / 1,610mm","1,555~1,565kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1609,2010 BMW 5시리즈,"V6, 직렬 6기통",,가솔린,"2,497cc",204hp,25.5kg.m,"복합 11.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",177~208g/km,"4,899mm / 1,860mm","1,464mm / 2,968mm","1,600mm / 1,627mm","1,640kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 후륜 구동,자동8단,더블위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,234km/h,8.5초
1610,2022 아반떼 하이브리드,I4,자연흡기,가솔린,"1,580cc",105hp 합산 141hp,15kg.m,"복합 21.1km/ℓ 도심 21.4km/ℓ, 고속 20.7km/ℓ",74g/km,"4,650mm / 1,825mm","1,420mm / 2,720mm","1,585mm / 1,599mm","1,335kg",205mm / 55 / 16inch,205mm / 55 / 16inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1611,2012 렉서스 CT 하이브리드,I4 1.8,,가솔린,"1,798cc",99hp 합산 136hp,14.5kg.m,"복합 18.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",91g/km,"4,320mm / 1,765mm","1,440mm / 2,600mm","1,525mm / 1,520mm","1,455kg",205~215mm / 45~55 / 16~17inch,205~215mm / 45~55 / 16~17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,
1612,2021 BMW X3 M,I6,트윈터보,가솔린,"2,993cc",510hp,61.2kg.m,"복합 7.1km/ℓ 도심 6.2km/ℓ, 고속 8.7km/ℓ",247g/km,"4,725mm / 1,895mm","1,670mm / 2,864mm","1,623mm / 1,602mm","2,060kg",255mm / 40 / 21inch,265mm / 40 / 21inch,상시사륜 구동,토크컨버터8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.1초
1613,2023 메르세데스-EQ EQS,,,전기,,,,"복합 3.8km/kWh 도심 3.8km/kWh, 고속 3.7km/kWh",,"5,225mm / 1,925mm","1,520mm / 3,210mm",,"2,570kg",265mm / 40 / 21inch,265mm / 40 / 21inch,뒤엔진 후륜 구동,자동1단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,245kW328.5hp (단순환산치),568Nm57.9kg.m (단순환산치),478km,107.8kWh,리튬 이온,210km/h,6.2초
1614,2018 싼타페,l4,싱글터보,디젤,"1,995cc",186hp,41kg.m,"복합 12~13.8km/ℓ 도심 11.1~12.7km/ℓ, 고속 13.4~15.4km/ℓ",138~160g/km,"4,770mm / 1,890mm","1,680~1,705mm / 2,765mm","1,638mm / 1,647mm","1,795~1,875kg",,,"앞엔진 전륜 구동, 상시사륜 구동",자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1615,2013 제네시스,V6 3.3 GDi,,가솔린,"3,342cc",300hp,35.5kg.m,"복합 9.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",184g/km,"4,985mm / 1,890mm","1,480mm / 2,935mm","1,619mm / 1,635mm","1,750kg",225~235mm / 45~55 / 17~19inch,225~235mm / 45~55 / 17~19inch,앞엔진 후륜 구동,자동8단,멀티링크 코일스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
1616,2019 BMW i3 해치백,,,전기,,,,"복합 5.4km/kWh 도심 5.9km/kWh, 고속 4.9km/kWh",,"4,010mm / 1,775mm","1,575mm / 1,576~2,570mm","1,571mm / 1,576mm","1,300kg",155mm / 60~70 / 19~20inch,175mm / 55~60 / 19~20inch,뒤엔진 후륜 구동,자동,맥퍼슨 스트럿,멀티 링크,v디스크,V디스크,랙 앤 피니언,125kW167.6hp (단순환산치),250Nm25.5kg.m (단순환산치),208km,27.2kWh,리튬이온,150km/h,7.3초
1617,2013 BMW 5시리즈 ,I4 2.0,,가솔린,"1,997cc",245hp,35.7kg.m,"복합 11.7km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",150g/km,"4,899mm / 1,860mm","1,464mm / 2,968mm","1,600mm / 1,627mm","1,620kg",245mm / 45 / 18inch,275mm / 40 / 18inch,앞엔진 후륜 구동,자동8단,더블위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,6.3초
1618,2020 모닝,I3,자연흡기,가솔린,998cc,76hp,9.7kg.m,"복합 15.7km/ℓ 도심 14.4km/ℓ, 고속 17.6km/ℓ",104g/km,"3,595mm / 1,595mm","1,485mm / 2,400mm","1,406mm / 1,415mm",910kg,175mm / 65 / 14inch,175mm / 65 / 14inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,토션빔,디스크,드럼,랙 앤 피니언,,,,,,,
1619,2012 아반떼,I4 1.6 GDI,,가솔린,"1,591cc",140hp,17kg.m,"복합 16.5~17.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",134~142g/km,"4,530mm / 1,775mm","1,435mm / 2,700mm","1,551mm / 1,564mm","1,160~1,190kg",195~215mm / 45~65 / 15~17inch,195~215mm / 45~65 / 15~17inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,토션 빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,
1620,2026 메르세데스-벤츠 GLB,I4,싱글터보,가솔린,"1,991cc",224hp,35.7kg.m,"복합 10.5km/ℓ 도심 9.5km/ℓ, 고속 12km/ℓ",163g/km,"4,650mm / 1,845mm","1,690mm / 2,830mm","1,591mm / 1,598mm","1,775kg",235mm / 50 / 19inch,235mm / 50 / 19inch,상시사륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,236km/h,7초
1621,1999 렉서스 IS,직렬6기통 VVT,,가솔린,"1,988cc",155hp,19.9kg.m,"복합 10.7km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,485mm / 1,720mm","1,420mm / 2,670mm","1,495mm / 1,485mm","1,445kg",205mm / 55 / 16inch,205mm / 55 / 16inch,앞엔진 후륜 구동,자동4단,더블 위시본,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,11.2초
1622,2010 카렌스,2.0 LPI,,LPG,"1,998cc",141hp,19kg.m,"복합 8.6~9.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",180~205g/km,"4,545mm / 1,820mm","1,650~1,700mm / 2,700mm","1,565~1,575mm / 1,560~1,570mm","1,525~1,555kg",205~225mm / 50~65 / 15~17inch,205~225mm / 50~65 / 15~17inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
1623,2012 K7,I4 2.4 GDI,,가솔린,"2,359cc",201hp,25.5kg.m,"복합 12.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",183g/km,"4,965mm / 1,850mm","1,475mm / 2,845mm","1,601mm / 1,600mm","1,525kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
1624,2010 K7,세타Ⅱ 2.4MPI,,가솔린,"2,359cc",180hp,23.5kg.m,"복합 11.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",198g/km,"4,965mm / 1,850mm","1,475mm / 2,845mm","1,601mm / 1,600mm","1,505kg",215~225mm / 55~65 / 16~17inch,215~225mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
1625,2025 메르세데스-벤츠 GLS,I6,트윈터보,가솔린,"2,999cc",381hp,51kg.m,"복합 7.9km/ℓ 도심 7.2km/ℓ, 고속 8.9km/ℓ",219g/km,"5,210mm / 2,030mm","1,840mm / 3,135mm","1,703mm / 1,723mm","2,520kg",285mm / 45 / 22inch,325mm / 40 / 22inch,상시사륜 구동,자동9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,6.1초
1626,2013 K5 하이브리드,I4 2.0,자연흡기,가솔린,"1,999cc",150hp 합산 191hp,18.3kg.m,"복합 16.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",100g/km,"4,845mm / 1,835mm","1,455mm / 2,795mm","1,595~1,601mm / 1,595~1,601mm","1,570kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V 디스크,디스크,랙 앤 피니언,,,,,,,
1627,2024 렉서스 LS 하이브리드,V6,자연흡기,가솔린,"3,456cc",299hp 합산 359hp,35.7kg.m,"복합 9.6km/ℓ 도심 8.8km/ℓ, 고속 10.9km/ℓ",175g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,635mm / 1,635mm","2,365~2,375kg",245mm / 45 / 20inch,245mm / 45 / 20inch,상시사륜 구동,CVT,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1628,2023 메르세데스-벤츠 CLA,I4,싱글터보,가솔린,"1,991cc",224hp,35.7kg.m,"복합 10.8km/ℓ 도심 9.5km/ℓ, 고속 12.8km/ℓ",158g/km,"4,695mm / 1,830mm","1,445mm / 2,730mm","1,602mm / 1,608mm","1,605kg",225mm / 45 / 18inch,225mm / 45 / 18inch,상시사륜 구동,DCT7단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,6.3초
1629,2026 BMW i5,,,전기,,,,"복합 4.8km/kWh 도심 4.9km/kWh, 고속 4.6km/kWh",,"5,060mm / 1,900mm","1,515mm / 2,995mm","1,622mm / 1,658mm","2,224kg",245mm / 45 / 19inch,245mm / 45 / 19inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,250kW335.3hp (단순환산치),400Nm40.8kg.m (단순환산치),453km,81.2kWh,리튬 이온,193km/h,6초
1630,2015 i40,I4 직분사,자연흡기,가솔린,"1,999cc",166hp,20.9kg.m,"복합 11.4~11.5km/ℓ 도심 10.1km/ℓ, 고속 13.6~13.8km/ℓ",153~154g/km,"4,820mm / 1,815mm","1,470mm / 2,770mm","1,579~1,591mm / 1,585~1,597mm","1,505~1,520kg",205~225mm / 45~60 / 16~18inch,205~225mm / 45~60 / 16~18inch,앞엔진 전륜 구동,토크컨버터6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1631,2011 i30cw,2.0 VVT,,가솔린,"1,975cc",143hp,19kg.m,"복합 12.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",190g/km,"4,475mm / 1,775mm","1,565mm / 2,700mm","1,525mm / 1,525mm","1,340kg",215mm / 45 / 17inch,215mm / 45 / 17inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,
1632,2014 BMW M5,V8,트윈터보,가솔린,"4,395cc",560hp,69.4kg.m,"복합 8.1km/ℓ 도심 7.1km/ℓ, 고속 10km/ℓ",220g/km,"4,910mm / 1,891mm","1,467mm / 2,964mm","1,627mm / 1,582mm","1,870kg",265mm / 35 / 20inch,295mm / 30 / 20inch,앞엔진 후륜 구동,자동7단,더블 위시본,멀티 암,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.3초
1633,2021 BMW 4시리즈,I4,싱글터보,가솔린,"1,998cc",184hp,30.6kg.m,"복합 11.5km/ℓ 도심 10.3km/ℓ, 고속 13.5km/ℓ",145g/km,"4,770mm / 1,845mm","1,385mm / 2,850mm","1,575mm / 1,611mm","1,595kg",225mm / 45 / 18inch,255mm / 40 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,7.5초
1634,2026 메르세데스-벤츠 GLC,I4,싱글터보,디젤,"1,993cc",197hp,44.9kg.m,"복합 14.5km/ℓ 도심 13.8km/ℓ, 고속 15.5km/ℓ",130g/km,"4,720mm / 1,890mm","1,645mm / 2,890mm","1,627mm / 1,640mm","1,965kg",235mm / 55 / 19inch,235mm / 55 / 19inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,219km/h,8초
1635,2019 G90,V6,트윈터보,가솔린,"3,342cc",370hp,52kg.m,"복합 8.8km/ℓ 도심 7.6km/ℓ, 고속 10.7km/ℓ",196g/km,"5,205mm / 1,915mm","1,495mm / 3,160mm","1,630mm / 1,659mm","2,065kg",245mm / 50 / 18inch,245mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1636,2010 렉서스 ES,V형 6기통 24밸브,,가솔린,"3,456cc",277hp,35.3kg.m,"복합 9.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",240g/km,"4,860mm / 1,820mm","1,450mm / 2,775mm","1,575mm / 1,565mm","1,670kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,맥퍼슨 스트럿,V디스크,V디스크,랙 앤 피니언,,,,,,,
1637,2018 G80,l4,싱글터보,디젤,"2,199cc",202hp,45kg.m,"복합 12.1~13.8km/ℓ 도심 0~12.3km/ℓ, 고속 0~16.1km/ℓ",138~159g/km,"4,990mm / 1,890mm","1,480mm / 3,010mm","1,620~1,628mm / 1,633~1,659mm","1,950~2,065kg",245mm / 40~45 / 18~19inch,245~275mm / 35~45 / 18~19inch,"앞엔진 후륜 구동, 상시사륜 구동",자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1638,2025 G90,V6,트윈터보,가솔린,"3,470cc",380hp,54kg.m,"복합 9.3km/ℓ 도심 8km/ℓ, 고속 11.5km/ℓ",184g/km,"5,275mm / 1,930mm","1,490mm / 3,180mm","1,650mm / 1,682mm","2,035kg",245mm / 50 / 19inch,245mm / 50 / 19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1639,2021 K7,I4,자연흡기,가솔린,"2,497cc",198hp,25.3kg.m,"복합 11.6~11.9km/ℓ 도심 10~10.3km/ℓ, 고속 14.2~14.5km/ℓ",142~147g/km,"4,995mm / 1,870mm","1,470mm / 2,855mm","1,602mm / 1,610mm","1,565~1,580kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
