,종합점수,주행,가격,거주성,품질,디자인,연비_y,복합연비,연료,연도,차급,브랜드,CO₂ 배출량
423,8.8,9.4,8.5,7.5,9.0,9.7,8.4,11.1,가솔린,2019,경차,BMW,155g/km
425,9.0,9.5,8.8,8.6,9.1,9.5,8.7,12.0,디젤,2019,경차,BMW,159g/km
426,8.2,8.9,7.6,8.7,8.2,8.8,6.9,11.3,디젤,2021,경차,현대,156~172g/km
427,8.6,9.0,8.1,8.8,8.4,9.7,7.8,13.2,가솔린,2021,경차,기아,121~127g/km
429,8.0,8.5,8.2,8.2,8.0,8.2,6.9,9.5,디젤,2014,경차,현대,183~214g/km
430,7.5,8.3,7.6,7.3,7.6,7.5,6.6,,디젤,2023,경차,현대,
431,9.7,9.9,9.2,9.7,9.9,9.9,9.6,10.7,가솔린,2023,경차,BMW,156g/km
432,9.1,9.6,8.9,8.7,9.2,9.5,8.7,,가솔린,2014,경차,BMW,
435,8.6,9.2,8.5,7.8,8.7,9.7,8.1,18.0,디젤,2015,경차,메르세데스-벤츠,107g/km
438,9.2,9.4,8.7,9.5,9.3,9.0,9.3,15.2,가솔린,2022,경차,현대,97~108g/km
439,8.8,9.1,8.4,8.8,8.7,9.6,8.3,11.8,가솔린,2019,경차,기아,132~143g/km
443,8.0,8.6,8.4,8.5,8.4,8.6,5.6,10.2,가솔린,2014,경차,르노코리아,174g/km
446,9.4,9.8,8.2,9.6,9.7,9.5,9.8,4.2,전기,2023,대형/프리미엄,메르세데스-벤츠,
448,8.8,8.9,9.1,8.1,8.3,9.5,8.6,13.4,가솔린,2020,경차,르노코리아,123g/km
449,8.8,9.4,6.9,9.3,9.3,9.8,8.0,14.6,디젤,2024,경차,BMW,121g/km
450,8.5,9.4,8.2,7.9,8.6,8.8,7.9,12.7,가솔린,2021,경차,현대,119~131g/km
451,9.5,9.6,8.9,9.6,9.7,9.6,9.8,14.0,가솔린,2022,경차,렉서스,114g/km
452,8.4,8.8,8.5,8.9,8.4,8.9,7.2,11.2,디젤,2015,경차,기아,179g/km
453,8.5,9.2,8.2,9.2,9.0,9.4,5.7,9.2,가솔린,2015,경차,제네시스,189~194g/km
454,8.4,9.6,6.8,8.4,8.0,8.8,8.8,,디젤,2019,경차,현대,
456,8.9,9.8,8.5,8.8,9.6,9.8,6.5,5.9,,2014,대형/프리미엄,BMW,
459,9.0,9.2,8.0,9.4,8.8,9.6,9.0,14.3,가솔린,2020,경차,기아,106~115g/km
462,8.7,9.0,8.0,9.0,8.8,9.1,8.6,11.4,가솔린,2015,경차,현대,147~154g/km
463,8.7,9.6,8.0,8.3,9.2,9.9,6.9,7.0,가솔린,2021,경차,메르세데스-벤츠,248g/km
466,8.6,8.7,8.7,8.9,8.5,9.1,7.7,11.6,가솔린,2018,경차,기아,136~144g/km
467,7.1,8.8,7.4,7.2,7.7,7.5,6.0,9.0,디젤,2020,경차,기아,195~216g/km
468,9.0,9.3,7.9,9.4,9.2,9.7,8.6,13.0,가솔린,2024,경차,기아,121~128g/km
470,8.7,9.2,7.8,8.2,8.9,8.5,9.5,17.4,가솔린,2021,경차,현대,82~92g/km
471,8.6,9.2,8.4,8.7,9.2,9.4,6.6,10.7,디젤,2015,경차,기아,189g/km
475,8.7,9.6,7.7,8.0,8.7,9.9,8.1,9.0,가솔린,2023,경차,메르세데스-벤츠,194g/km
476,8.7,10.0,8.9,8.1,9.6,9.9,5.5,6.8,가솔린,2022,경차,BMW,256g/km
480,8.2,9.4,7.7,7.3,7.7,8.0,8.8,5.6,전기,2020,대형/프리미엄,현대,
484,8.7,9.2,7.9,9.4,8.7,9.5,7.3,11.7,디젤,2024,경차,기아,165g/km
485,8.9,9.6,8.2,9.5,8.8,9.4,7.7,10.4,디젤,2024,경차,메르세데스-벤츠,187g/km
486,9.2,9.9,7.7,8.7,9.7,9.8,9.4,4.3,전기,2021,대형/프리미엄,제네시스,
487,8.7,9.6,7.7,8.0,8.7,9.9,8.1,9.0,가솔린,2020,경차,메르세데스-벤츠,194g/km
488,8.9,9.4,7.1,9.5,8.9,9.0,9.2,16.7,가솔린,2023,경차,현대,88~96g/km
491,9.0,9.7,9.0,7.4,9.1,9.0,9.7,17.4,디젤,2015,경차,BMW,111g/km
492,9.3,9.8,8.9,9.5,8.7,9.5,9.4,5.6,전기,2021,대형/프리미엄,테슬라,
493,8.6,9.2,8.4,8.7,9.2,9.4,6.6,10.7,디젤,2014,경차,기아,189g/km
494,8.5,8.9,8.0,9.4,9.1,8.6,7.0,6.7,가솔린,2019,경차,메르세데스-벤츠,266g/km
499,8.5,9.2,8.2,9.2,9.0,9.4,5.7,9.4,가솔린,2014,경차,제네시스,189g/km
500,8.6,9.2,8.5,7.8,8.7,9.7,8.1,,가솔린,2014,경차,메르세데스-벤츠,165g/km
501,8.4,9.2,9.0,8.3,8.5,7.8,7.8,6.3,전기,2019,대형/프리미엄,현대,
506,9.3,9.8,9.1,9.6,9.6,9.7,8.2,7.8,가솔린,2023,경차,BMW,218g/km
507,9.3,9.7,9.0,8.8,9.7,9.8,8.8,11.4,가솔린,2024,경차,BMW,149g/km
508,8.4,9.6,8.0,8.1,9.1,9.0,6.9,8.3,가솔린,2022,경차,BMW,208g/km
